Sample #,Station #,Cast #,Niskin #,Month,Day,Year,Time UTC,Latitude,Longitude,Bottle trip Flag,Depth,Pressure,Temp_1,Temp_1_Flag,Temp_2,Temp_2_Flag,Sal_1,Sal_1_Flag,Sal_2,Sal_2_Flag,CTD_o2_sat,CTD_o2_sat_Flag,CTD_o2_conc,CTD_o2_conc_Flag,OXYGEN,OXYGEN_FLAG_W,DIC_AOML,DIC_AOML_FLAG,ALKALI,ALKALI_FLAG,PH_TOT,PH_TOT_TEMP,PH_TOT_FLAG_W,Silicate,Silicate_FLAG,NO2,NO2_FLAG,NO3,NO3_FLAG,NO2+NO3,NO2+NO3_FLAG,PO4,PO4_FLAG,DIC_UDEL,DIC_UDEL_FLAG_W,PN,PN_FLAG,POC,POC_FLAG,DOC,DOC_Flag,CDOM (@443nm),CDOM_FLAG,HPLC_chl_a,HPLC_chl_a_flag,NPP,NPP,NPP_flag,NPP_PC,NPP_PC,NPP_PC_flag,NPP_PN,NPP_PN,NPP_PN_flag
,,,,mm,dd,yyyy,hr:mn:ss,deg,deg,,m,db,C,,C,,psu,,psu,,%sat,,umol/kg,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,°C,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,mg/m^3,,mg/m^3,,umol/L,,1/m,,mg/m^3,,umol C l-1 d-1,Stdev,,umol C/l,Stdev,,umol N/l,Stdev,
13,1,1,13,6,20,2015,1:58:11,41.31,-70.5121,2,1.867,1.882,15.7467,2,15.796,2,32.0719,2,32.0771,2,107.478,2,267.797,2,261.6,6,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
14,1,1,14,6,20,2015,1:58:19,41.31002,-70.51206,2,1.914,1.929,15.7252,2,15.7581,2,32.074,2,32.0735,2,107.546,2,268.075,2,-999,-999,1890.05,6,2156.27,2,7.839550801,25,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
15,1,1,15,6,20,2015,1:58:26,41.31002,-70.51202,2,1.968,1.983,15.7694,2,15.7529,2,32.0746,2,32.0755,2,107.472,2,267.657,2,-999,-999,-999,9,-999,9,-999,-999,9,1.6,2,0.0,2,0.00,2,0.01,2,0.33,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
16,1,1,16,6,20,2015,1:58:33,41.31001,-70.512,2,1.954,1.969,15.7464,2,15.7515,2,32.075,2,32.076,2,107.472,2,267.778,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
17,1,1,17,6,20,2015,1:59:57,41.31028,-70.51154,2,1.664,1.677,15.7442,2,15.7458,2,32.0739,2,32.0741,2,107.392,2,267.592,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
18,1,1,18,6,20,2015,2:00:05,41.31029,-70.51152,2,1.749,1.762,15.761,2,15.7913,2,32.0743,2,32.0737,2,107.511,2,267.8,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
19,1,1,19,6,20,2015,2:00:12,41.31031,-70.51149,2,1.657,1.67,15.6837,2,15.6948,2,32.0755,2,32.0725,2,107.515,2,268.212,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
20,1,1,20,6,20,2015,2:00:19,41.31032,-70.51148,2,1.754,1.768,15.7484,2,15.7545,2,32.0738,2,32.0745,2,107.686,2,268.302,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
21,1,1,21,6,20,2015,2:00:29,41.31034,-70.51142,2,1.847,1.862,15.8402,2,15.8327,2,32.0758,2,32.0759,2,107.336,2,266.946,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
22,1,1,22,6,20,2015,2:00:35,41.31036,-70.51139,2,1.775,1.789,15.8382,2,15.8373,2,32.0762,2,32.0762,2,107.361,2,267.019,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
23,1,1,23,6,20,2015,2:00:43,41.31033,-70.51132,2,1.753,1.766,15.846,2,15.8383,2,32.0764,2,32.0761,2,107.607,2,267.591,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
24,1,1,24,6,20,2015,2:00:50,41.31036,-70.51132,2,1.757,1.771,15.8313,2,15.8176,2,32.0766,2,32.0764,2,107.416,2,267.192,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
25,2,1,1,6,20,2015,4:20:17,41.0015,-70.397,2,36.918,37.209,9.8523,2,9.8511,2,32.7064,2,32.7076,2,108.03,2,302.555,2,280.5,4,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
26,2,1,2,6,20,2015,4:20:21,41.0015,-70.397,2,36.862,37.154,9.8553,2,9.8531,2,32.7057,2,32.7069,2,108.149,2,302.869,2,-999,-999,1947.62,2,2207.52,2,7.796226702,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
27,2,1,3,6,20,2015,4:20:31,41.0015,-70.397,2,36.898,37.189,9.8565,2,9.8548,2,32.7051,2,32.7063,2,107.947,2,302.297,2,-999,-999,-999,9,-999,9,-999,-999,9,3.2,2,0.0,2,0.18,2,0.20,2,0.45,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
28,2,1,4,6,20,2015,4:23:01,41.00132,-70.39632,2,19.661,19.816,9.8752,2,9.8705,2,32.7021,2,32.7043,2,107.184,2,300.045,2,279.3,4,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
29,2,1,5,6,20,2015,4:23:19,41.00132,-70.39632,2,19.662,19.817,9.8691,2,9.8718,2,32.703,2,32.7035,2,107.027,2,299.643,2,-999,-999,1945.07,2,2205.82,2,7.800700191,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
30,2,1,6,6,20,2015,4:23:27,41.00132,-70.39632,2,19.747,19.902,9.8751,2,9.8628,2,32.7022,2,32.7044,2,107.019,2,299.585,2,-999,-999,-999,9,-999,9,-999,-999,9,2.7,2,0.0,2,0.17,2,0.20,2,0.46,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
31,2,1,7,6,20,2015,4:23:36,41.00132,-70.39616,2,19.584,19.738,9.8855,2,9.8816,2,32.7005,2,32.7019,2,107.397,2,300.579,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
32,2,1,8,6,20,2015,4:24:44,41.00116,-70.396,2,11.888,11.981,10.7138,2,10.7182,2,32.6132,2,32.6109,2,113.348,2,311.823,2,238.9,4,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
33,2,1,9,6,20,2015,4:24:51,41.00116,-70.396,2,11.964,12.058,10.5816,2,10.6071,2,32.6341,2,32.6319,2,113.606,2,313.371,2,-999,-999,1925.56,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
