Sample #,Station #,Cast #,Niskin #,Month,Day,Year,Time UTC,Latitude,Longitude,Bottle trip Flag,Depth,Pressure,Temp_1,Temp_1_Flag,Temp_2,Temp_2_Flag,Sal_1,Sal_1_Flag,Sal_2,Sal_2_Flag,CTD_o2_sat,CTD_o2_sat_Flag,CTD_o2_conc,CTD_o2_conc_Flag,OXYGEN,OXYGEN_FLAG_W,DIC_AOML,DIC_AOML_FLAG,ALKALI,ALKALI_FLAG,PH_TOT,PH_TOT_TEMP,PH_TOT_FLAG_W,Silicate,Silicate_FLAG,NO2,NO2_FLAG,NO3,NO3_FLAG,NO2+NO3,NO2+NO3_FLAG,PO4,PO4_FLAG,DIC_UDEL,DIC_UDEL_FLAG_W,PN,PN_FLAG,POC,POC_FLAG,DOC,DOC_Flag,CDOM (@443nm),CDOM_FLAG,HPLC_chl_a,HPLC_chl_a_flag,NPP,NPP,NPP_flag,NPP_PC,NPP_PC,NPP_PC_flag,NPP_PN,NPP_PN,NPP_PN_flag
,,,,mm,dd,yyyy,hr:mn:ss,deg,deg,,m,db,C,,C,,psu,,psu,,%sat,,umol/kg,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,°C,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,mg/m^3,,mg/m^3,,umol/L,,1/m,,mg/m^3,,umol C l-1 d-1,Stdev,,umol C/l,Stdev,,umol N/l,Stdev,
165,9,1,8,6,21,2015,5:35:45,41.22916,-69.28516,2,24.21,24.401,6.4095,2,6.4069,2,32.5989,2,32.6006,2,102.324,2,309.802,2,-999,-999,-999,9,2199.92,2,7.818960006,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
166,9,1,9,6,21,2015,5:35:52,41.22932,-69.28516,2,24.434,24.627,6.4073,2,6.4025,2,32.5974,2,32.5997,2,102.179,2,309.383,2,-999,-999,-999,9,-999,9,-999,-999,9,3.4,2,0.2,2,3.17,3,3.34,3,0.49,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
167,9,1,10,6,21,2015,5:37:04,41.22966,-69.28516,2,15.244,15.364,6.8695,2,6.8622,2,32.5758,2,32.5761,2,103.29,2,309.48,2,272.6,4,1958.88,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
168,9,1,11,6,21,2015,5:37:07,41.22966,-69.28516,2,15.169,15.288,6.8968,2,6.8969,2,32.5701,2,32.5721,2,103.22,2,309.089,2,-999,-999,-999,9,2199.78,2,7.828819571,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
169,9,1,12,6,21,2015,5:37:16,41.22966,-69.28516,2,15.224,15.344,6.9253,2,6.931,2,32.571,2,32.5717,2,103.335,2,309.231,2,-999,-999,-999,9,-999,9,-999,-999,9,3.7,2,0.2,2,3.98,2,4.16,2,0.55,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
170,9,1,13,6,21,2015,5:38:41,41.23016,-69.28532,2,9.763,9.84,9.0628,2,9.08,2,32.4472,2,32.4536,2,106.636,2,304.418,2,257.8,"6, 3",1932.15,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
171,9,1,14,6,21,2015,5:38:48,41.23016,-69.2855,2,9.749,9.825,9.0011,2,9.0004,2,32.438,2,32.4448,2,106.698,2,305.028,2,-999,-999,-999,9,2192.16,2,7.88442329,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
172,9,1,15,6,21,2015,5:38:55,41.23016,-69.2855,2,9.633,9.709,9.0387,2,9.0496,2,32.4547,2,32.4528,2,106.757,2,304.909,2,-999,-999,-999,9,-999,9,-999,-999,9,2.8,2,0.2,2,2.64,2,2.80,2,0.63,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
173,9,1,16,6,21,2015,5:39:54,41.2305,-69.2855,2,2.514,2.534,11.2649,2,11.2654,2,32.3632,2,32.3645,2,110.007,2,299.639,2,268.3,4,1910.73,6,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
174,9,1,17,6,21,2015,5:40:01,41.2305,-69.2855,2,2.749,2.771,11.255,2,11.2595,2,32.3647,2,32.3627,2,110.163,2,300.125,2,-999,-999,-999,9,2188.11,6,7.926750696,20,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
175,9,1,18,6,21,2015,5:40:13,41.2305,-69.2855,2,2.384,2.402,11.236,2,11.2278,2,32.3606,2,32.3634,2,110.224,2,300.42,2,-999,-999,-999,9,-999,9,-999,-999,9,1.9,2,0.1,2,1.44,2,1.53,2,0.30,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
176,10,1,1,6,21,2015,11:04:21,42.00366,-69.5905,2,203.755,205.468,5.6095,2,5.6076,2,33.6174,2,33.6198,2,93.161,2,285.203,2,271.7,4,2020.99,2,-999,9,-999,-999,9,11.1,2,0.0,2,12.38,2,12.42,2,1.07,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
177,10,1,2,6,21,2015,11:04:29,42.00366,-69.5905,2,203.584,205.295,5.6074,2,5.6056,2,33.617,2,33.6194,2,93.179,2,285.274,2,-999,-999,-999,9,2239.26,6,7.754348536,20,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
178,10,1,3,6,21,2015,11:08:59,42.0025,-69.59132,2,145.335,146.536,5.5682,2,5.5668,2,33.6092,2,33.6113,2,93.584,2,286.793,2,121.6,3,2019.96,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
179,10,1,4,6,21,2015,11:09:02,42.0025,-69.59132,2,145.232,146.432,5.5681,2,5.5664,2,33.6093,2,33.6114,2,93.687,2,287.11,2,-999,-999,-999,9,2243.51,2,7.758206771,20,2,10.4,2,0.0,2,12.19,2,12.22,2,1.01,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
180,10,1,5,6,21,2015,11:12:04,42.00182,-69.592,2,80.024,80.672,5.3394,2,5.3379,2,33.3881,2,33.3899,2,94.09,2,290.379,2,259.3,4,2010.00,2,-999,9,-999,-999,9,3.1,2,0.0,2,5.83,2,5.83,2,0.65,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
181,10,1,6,6,21,2015,11:12:08,42.00181,-69.59199,2,79.804,80.451,5.3397,2,5.3385,2,33.3874,2,33.3893,2,93.907,2,289.813,2,-999,-999,-999,9,2230.19,2,7.766249572,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
182,10,1,7,6,21,2015,11:15:08,42.001,-69.59232,2,34.844,35.123,7.7277,2,7.7186,2,33.093,2,33.0982,2,114.553,2,335.32,2,271.3,"6, 3",1942.55,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
183,10,1,8,6,21,2015,11:15:16,42.001,-69.59232,2,34.69,34.967,7.7329,2,7.7311,2,33.0942,2,33.0943,2,114.691,2,335.68,2,-999,-999,-999,9,-999,9,-999,-999,9,0.0,2,0.0,2,0.32,2,0.36,2,0.27,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.175,0.079,2,30.809,1.968,2,3.415,0.578,2
184,10,1,9,6,21,2015,11:15:24,42.001,-69.59232,2,34.687,34.965,7.7253,2,7.7224,2,33.0961,2,33.0975,2,114.595,2,335.454,2,-999,-999,-999,9,2229.16,2,7.944092513,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.175,0.079,2,30.809,1.968,2,3.415,0.578,2
185,10,1,10,6,21,2015,11:15:35,42.00082,-69.59232,2,34.695,34.973,7.6863,2,7.6841,2,33.0984,2,33.1002,2,114.484,2,335.417,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
186,10,1,11,6,21,2015,11:17:20,42.00066,-69.59232,2,21.418,21.588,11.8678,2,11.7901,2,32.9109,2,32.9245,2,114.938,2,307.93,2,269.2,4,1910.87,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
187,10,1,12,6,21,2015,11:17:26,42.00066,-69.59232,2,21.204,21.372,12.0215,2,11.9756,2,32.9077,2,32.9191,2,115.591,2,308.69,2,-999,-999,-999,9,2218.76,2,7.995799139,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
188,10,1,13,6,21,2015,11:17:31,42.00066,-69.59232,2,21.091,21.259,12.0626,2,12.0144,2,32.8998,2,32.9179,2,115.618,2,308.515,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.882,0.084,2,14.389,0.887,2,1.625,0.124,2
189,10,1,14,6,21,2015,11:17:35,42.00066,-69.59232,2,21.474,21.645,11.7179,2,11.6631,2,32.9207,2,32.9346,2,114.646,2,308.096,2,-999,-999,-999,9,-999,9,-999,-999,9,0.0,2,0.0,2,0.04,2,0.05,2,0.18,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.882,0.084,2,14.389,0.887,2,1.625,0.124,2
190,10,1,15,6,21,2015,11:18:53,42.00033,-69.59246,2,14.132,14.244,13.4356,2,13.4476,2,32.8362,2,32.832,2,113.78,2,295.292,2,252.5,4,1909.80,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
191,10,1,16,6,21,2015,11:18:57,42.00032,-69.5925,2,14.184,14.296,13.4217,2,13.4216,2,32.8402,2,32.8418,2,113.368,2,294.298,2,-999,-999,-999,9,2216.05,2,7.993344988,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
192,10,1,19,6,21,2015,11:20:27,42,-69.5925,2,34.344,34.618,7.0536,2,7.0029,2,33.1741,2,33.1827,2,108.262,2,321.597,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
193,10,1,21,6,21,2015,11:21:45,41.99982,-69.59266,2,20.987,21.154,12.2629,2,12.2695,2,32.8903,2,32.887,2,115.367,2,306.592,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
194,10,1,17,6,21,2015,11:22:45,41.99964,-69.59266,2,3.625,3.654,14.0472,2,14.0473,2,32.6261,2,32.6266,2,111.883,2,287.221,2,254.3,4,1906.30,6,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
195,10,1,18,6,21,2015,11:23:02,41.99951,-69.59265,2,2.516,2.536,14.0507,2,14.0511,2,32.6273,2,32.6269,2,111.684,2,286.688,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
196,10,1,20,6,21,2015,11:23:09,41.9995,-69.59266,2,2.958,2.982,14.0501,2,14.05,2,32.6274,2,32.6279,2,111.378,2,285.906,2,-999,-999,-999,9,2208.8,2,7.982936198,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
197,10,1,22,6,21,2015,11:23:18,41.9995,-69.59266,2,2.854,2.876,14.0499,2,14.0498,2,32.6278,2,32.6287,2,111.558,2,286.369,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.500,0.030,2,13.017,0.427,2,1.577,0.041,2
198,10,1,23,6,21,2015,11:23:26,41.9995,-69.59266,2,2.924,2.946,14.0519,2,14.0514,2,32.6283,2,32.6294,2,111.665,2,286.632,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
199,10,1,24,6,21,2015,11:23:34,41.9995,-69.59266,2,2.747,2.769,14.0486,2,14.0489,2,32.6287,2,32.6295,2,111.491,2,286.203,2,-999,-999,-999,9,-999,9,-999,-999,9,0.0,2,0.0,2,0.04,2,0.04,2,0.15,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.500,0.030,2,13.017,0.427,2,1.577,0.041,2
200,11,1,1,6,21,2015,15:51:00,42.6025,-70.054,2,112.627,113.554,4.4215,2,4.4255,2,32.927,2,32.9347,2,94.264,2,298.364,2,271.9,4,2097.36,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
201,11,1,2,6,21,2015,15:51:08,42.6025,-70.054,2,113.027,113.958,4.4557,2,4.4559,2,32.95,2,32.9563,2,94.21,2,297.899,2,-999,-999,-999,9,2213.38,2,7.748758522,20,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
202,11,1,3,6,21,2015,15:53:04,42.60232,-70.05416,2,69.844,70.412,4.4692,2,4.4705,2,32.8036,2,32.807,2,94.137,2,297.897,2,266.0,4,2096.10,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
203,11,1,4,6,21,2015,15:53:13,42.60232,-70.05417,2,69.839,70.407,4.4611,2,4.4589,2,32.7993,2,32.8016,2,94.16,2,298.038,2,-999,-999,-999,9,2207.62,2,7.745285401,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
204,11,1,5,6,21,2015,15:54:28,42.60232,-70.05416,2,49.727,50.129,5.3414,2,5.3413,2,32.7349,2,32.7383,2,100.6,2,311.967,2,274.6,4,2076.45,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
205,11,1,6,6,21,2015,15:54:34,42.60232,-70.05416,2,49.492,49.892,5.3431,2,5.3411,2,32.7352,2,32.7375,2,100.665,2,312.155,2,-999,-999,-999,9,2209.33,2,7.798762855,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
206,11,1,7,6,21,2015,15:54:41,42.60232,-70.05416,2,49.558,49.959,5.3504,2,5.3498,2,32.7357,2,32.7382,2,100.74,2,312.333,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.461,0.084,2,7.765,0.104,2,0.903,0.092,2
207,11,1,8,6,21,2015,15:54:49,42.60232,-70.05416,2,49.802,50.205,5.4325,2,5.4282,2,32.7309,2,32.7338,2,100.923,2,312.305,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.461,0.084,2,7.765,0.104,2,0.903,0.092,2
208,11,1,9,6,21,2015,15:55:44,42.60216,-70.05416,2,37.48,37.781,5.5704,2,5.5912,2,32.5099,2,32.5137,2,101.989,2,315.1,2,272.1,4,2062.45,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
209,11,1,10,6,21,2015,15:55:52,42.60216,-70.05416,2,37.496,37.797,5.6354,2,5.6348,2,32.4855,2,32.4899,2,101.976,2,314.634,2,-999,-999,-999,9,2200.35,2,7.816585948,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,29.52896142,2,113.732079,2,-999,9,0.075597651,2,0.47,2,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
210,11,1,11,6,21,2015,15:57:13,42.60216,-70.054,2,17.14,17.277,7.4504,2,7.4593,2,32.129,2,32.1298,2,110.47,2,327.706,2,273.7,"6,4",2027.45,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
211,11,1,12,6,21,2015,15:57:19,42.60216,-70.054,2,16.808,16.942,7.515,2,7.5478,2,32.1228,2,32.1162,2,110.813,2,328.254,2,-999,-999,-999,9,2175.56,2,7.870579297,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
212,11,1,13,6,21,2015,15:57:26,42.60216,-70.054,2,16.717,16.85,7.5323,2,7.629,2,32.1128,2,32.1031,2,111.132,2,329.095,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.471,0.244,2,26.953,4.939,2,3.128,0.698,2
213,11,1,14,6,21,2015,15:57:34,42.60216,-70.054,2,16.509,16.641,7.5732,2,7.6037,2,32.1134,2,32.1098,2,111.176,2,328.92,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.471,0.244,2,26.953,4.939,2,3.128,0.698,2
214,11,1,15,6,21,2015,15:58:52,42.60216,-70.054,2,11.412,11.503,10.2593,2,10.3263,2,32.1977,2,32.2068,2,114.058,2,317.801,2,266.4,4,1991.74,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,47.24218954,2,199.5506736,2,-999,9,0.083625199,2,0.953,2,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
215,11,1,16,6,21,2015,15:59:01,42.60216,-70.054,2,10.882,10.969,9.4269,2,9.4713,2,32.1465,2,32.1484,2,115.466,2,327.709,2,-999,-999,-999,9,2179.52,2,7.966236392,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
216,11,1,17,6,21,2015,15:59:08,42.60216,-70.054,2,10.97,11.058,9.1313,2,9.1779,2,32.0991,2,32.1066,2,114.509,2,327.221,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
217,11,1,18,6,21,2015,16:00:01,42.602,-70.054,2,3.303,3.329,13.4773,2,13.4768,2,31.6687,2,31.6705,2,110.675,2,289.339,2,256.5,4,1955.71,6,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
218,11,1,20,6,21,2015,16:00:09,42.602,-70.054,2,3.302,3.328,13.4766,2,13.4769,2,31.6712,2,31.6726,2,110.591,2,289.12,2,-999,-999,-999,9,2149.03,2,7.96879547,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
219,11,1,22,6,21,2015,16:00:19,42.602,-70.054,2,3.067,3.091,13.4734,2,13.4768,2,31.6719,2,31.6731,2,110.704,2,289.432,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.689,0.103,2,14.509,1.909,2,1.818,0.335,2
220,11,1,24,6,21,2015,16:00:30,42.602,-70.054,2,3.449,3.476,13.4753,2,13.473,2,31.6728,2,31.674,2,110.666,2,289.32,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,111.8507682,2,440.8128389,2,1209.585577,2,0.080145222,2,0.559,2,1.689,0.103,2,14.509,1.909,2,1.818,0.335,2
221,12,1,1,6,21,2015,19:05:49,42.71082,-70.55,2,73.547,74.147,4.5512,2,4.547,2,32.3202,2,32.3249,2,101.135,2,320.575,2,102.4,3,2064.42,2,-999,9,-999,-999,9,5.0,2,0.2,2,4.09,2,4.27,2,0.75,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
222,12,1,2,6,21,2015,19:05:55,42.71082,-70.55,2,73.456,74.054,4.5538,2,4.5523,2,32.3198,2,32.3234,2,101.186,2,320.716,2,-999,-999,-999,9,2186.95,2,7.78226411,20,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
223,12,1,3,6,21,2015,19:07:55,42.71082,-70.55016,2,47.616,48.001,4.8248,2,4.8182,2,32.2196,2,32.2292,2,104.388,2,328.971,2,276.0,4,2050.57,2,-999,9,-999,-999,9,2.2,2,0.1,2,2.35,2,2.44,2,0.52,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
224,12,1,4,6,21,2015,19:08:01,42.71082,-70.55016,2,47.563,47.948,4.8231,2,4.8177,2,32.2109,2,32.2206,2,104.338,2,328.848,2,-999,-999,-999,9,2182.98,2,7.802100196,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
225,12,1,5,6,21,2015,19:09:28,42.71066,-70.55032,2,21.39,21.562,7.4014,2,7.4049,2,32.1403,2,32.1425,2,106.042,2,314.893,2,250.1,4,2028.57,2,-999,9,-999,-999,9,1.4,2,0.0,2,0.60,2,0.65,2,0.40,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
226,12,1,6,6,21,2015,19:09:34,42.71066,-70.55032,2,21.477,21.649,7.4341,2,7.4305,2,32.1404,2,32.1428,2,106.143,2,314.961,2,-999,-999,-999,9,2177.79,2,7.858879507,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
227,12,1,7,6,21,2015,19:09:41,42.71066,-70.55032,2,21.365,21.536,7.46,2,7.4776,2,32.1412,2,32.1442,2,106.173,2,314.863,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.198,0.598,2,18.052,1.685,2,2.035,0.236,2
228,12,1,8,6,21,2015,19:09:47,42.71066,-70.55032,2,21.52,21.693,7.5045,2,7.5118,2,32.1396,2,32.1444,2,106.101,2,314.333,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,40.4783436,2,172.8213021,2,-999,9,0.095498522,2,1.904,2,2.198,0.598,2,18.052,1.685,2,2.035,0.236,2
229,12,1,9,6,21,2015,19:10:56,42.7105,-70.55032,2,15.052,15.173,9.1323,2,9.1349,2,32.0543,2,32.0564,2,111.853,2,319.728,2,316.3,2,1994.77,2,-999,9,-999,-999,9,0.6,2,0.0,2,0.03,2,0.03,2,0.20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
230,12,1,10,6,21,2015,19:11:02,42.7105,-70.55032,2,15.095,15.216,9.1476,2,9.1472,2,32.07,2,32.0719,2,112.002,2,320.009,2,-999,-999,-999,9,2170.64,2,7.921244172,20,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
