Sample ID,EXPOCODE,Cruise name,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,YEAR DAY,LATITUDE,LONGITUDE,BOTDEPTH,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,Theta ( C),SigmaTheta,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT,NITRAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,TN_RSMAS,TN_RSMAS_FLAG_W,PHSPHT,PHSPHT_FLAG,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,fCO2,fCO2_FLAG_W,PH_TOT,PH_TOT_FLAG_W,CO3,CO3_FLAG_W,Carbonate,TOC,TOC_FLAG_W,DOC,ag355,ag380,ag412,ag443,S_ag,DOC_ag_FLAG_W,Sample ID,CDOM_355 nm ,CDOM_380 nm,CDOM_412 nm,CDOM_443 nm,CDOM_S 300-600,CDOM_null,CDOM_FLAG_W,[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],Pigments_FLAG_W
,,,,,,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,,,,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM@20 C,,@ 25 C,,UMOL/KG,,R-Ratio,UMOL/KG,,umol/L,1/m,1/m,1/m,1/m,slope,2,,(1/meter),(1/meter),(1/meter),(1/meter),,,,(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),(mg/m3),
101,33RO20120721,RB1203,GOMECC-2,0,1,1,1,3,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,990.9,999.7,5.365,34.919,2,5.278,27.5783,-999,9,162.00,2,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,101,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
102,33RO20120721,RB1203,GOMECC-2,0,1,2,2,2,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,991,999.8,5.365,34.919,2,5.278,27.5783,-999,9,162.20,2,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,102,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
103,33RO20120721,RB1203,GOMECC-2,0,1,3,3,3,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,991.2,1000,5.365,34.919,2,5.278,27.5783,-999,9,162.20,2,168.02,3,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,103,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
104,33RO20120721,RB1203,GOMECC-2,0,1,4,4,2,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,991.1,999.9,5.365,34.919,2,5.278,27.5783,34.920,2,162.20,2,161.81,3,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,-999.00,9,2313.95,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,104,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
105,33RO20120721,RB1203,GOMECC-2,0,1,5,5,3,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,990.9,999.7,5.366,34.919,2,5.279,27.5782,35.179,2,162.10,2,120.24,3,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,2200.70,2,-999.00,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,105,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
106,33RO20120721,RB1203,GOMECC-2,0,1,6,6,2,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,990.9,999.7,5.367,34.919,2,5.280,27.5781,34.920,2,161.90,2,168.22,3,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,106,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
107,33RO20120721,RB1203,GOMECC-2,0,1,7,7,2,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,496.2,500,8.975,35.059,2,8.920,27.1776,35.060,2,116.70,2,118.76,3,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,2203.95,2,-999.00,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,107,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
108,33RO20120721,RB1203,GOMECC-2,0,1,8,8,2,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,496.2,500,8.972,35.059,2,8.917,27.1781,-999,9,116.70,2,124.25,3,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,108,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
109,33RO20120721,RB1203,GOMECC-2,0,1,9,9,4,"July 22, 2012",19:30,204.813,25.188,-84.64,1786,496.2,500,8.967,35.059,2,8.912,27.1789,-999,9,116.90,2,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999.00,9,-999.00,9,-999.00,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999,-999,-999,9,109,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
